media,medianame,ideo
u_abc,ABC,2.931939842
u_bb,Breitbart,4.069811321
u_bbc,BBC,2.498193497
u_bi,Business Insider,2.65203252
u_buzz,BuzzFeed,2.497727273
u_caller,Daily Caller,3.926640927
u_cbs,CBS,2.893285038
u_cnn,CNN,2.666405791
u_exam,Washington Examiner,3.381097561
u_fox,Fox,3.577958237
u_guard,Guardian,2.276958002
u_hill,The Hill,2.628081458
u_hp,HuffPost,2.361066236
u_msnbc,MSNBC,2.597878788
u_nbc,NBC,2.825058548
u_npr,NPR,2.388332857
u_nyp,New York Post,3.091040462
u_nyt,New York Times,2.400125039
u_pbs,PBS,2.563244906
u_pol,Politico,2.477371358
u_rush,Rush Limbaugh,4.1640625
u_sean,Sean Hannity,4.116462347
u_time,TIME,2.629
u_uni,Univision,2.987771739
u_usa,USA Today,2.901749664
u_vice,Vice,2.391752577
u_vox,Vox,2.11001642
u_week,Newsweek,2.618135377
u_wp,Washingpin Post,2.453200148
u_wsj,Wall Street Journal,2.89127182
