season,topic,partisan(2==hyper partisan)
1,1,0
1,10,0
1,11,1
1,12,1
1,13,0
1,14,1
1,15,1
1,16,1
1,17,0
1,18,0
1,19,0
1,2,2
1,20,0
1,21,0
1,22,0
1,23,0
1,24,2
1,25,0
1,26,2
1,27,1
1,3,2
1,4,0
1,5,2
1,6,1
1,7,2
1,8,2
1,9,2
10,1,2
10,10,1
10,11,0
10,12,2
10,13,2
10,14,0
10,2,0
10,3,2
10,4,2
10,5,2
10,6,2
10,7,1
10,8,1
10,9,0
2,1,2
2,10,2
2,11,2
2,12,2
2,13,2
2,14,1
2,15,0
2,16,1
2,17,1
2,18,0
2,19,2
2,2,0
2,20,2
2,21,2
2,22,0
2,23,1
2,24,0
2,25,2
2,26,2
2,27,0
2,28,0
2,3,2
2,4,0
2,5,2
2,6,2
2,7,1
2,8,1
2,9,2
3,1,2
3,10,2
3,11,2
3,12,2
3,13,0
3,14,2
3,15,0
3,2,2
3,3,0
3,4,1
3,5,0
3,6,2
3,7,2
3,8,2
3,9,2
4,1,2
4,10,2
4,2,2
4,3,0
4,4,2
4,5,0
4,6,2
4,7,2
4,8,2
4,9,2
5,1,2
5,10,2
5,11,0
5,12,2
5,13,1
5,14,1
5,2,2
5,3,1
5,4,2
5,5,0
5,6,2
5,7,0
5,8,1
5,9,2
6,1,2
6,10,2
6,11,2
6,12,0
6,13,0
6,14,2
6,15,0
6,16,2
6,17,0
6,18,1
6,19,1
6,2,2
6,20,2
6,21,1
6,22,0
6,23,0
6,24,2
6,25,1
6,3,1
6,4,2
6,5,2
6,6,0
6,7,0
6,8,2
6,9,2
7,1,2
7,10,0
7,11,1
7,12,1
7,13,0
7,14,0
7,15,1
7,16,2
7,17,2
7,18,0
7,19,0
7,2,0
7,20,1
7,21,1
7,22,0
7,23,1
7,24,2
7,3,1
7,4,0
7,5,2
7,6,2
7,7,0
7,8,2
7,9,2
8,1,2
8,10,1
8,11,0
8,12,2
8,13,2
8,14,2
8,15,1
8,16,0
8,17,0
8,18,1
8,19,2
8,2,2
8,20,0
8,21,1
8,3,0
8,4,2
8,5,2
8,6,0
8,7,0
8,8,0
8,9,2
9,1,2
9,10,2
9,11,2
9,12,2
9,13,1
9,14,0
9,15,2
9,16,0
9,17,1
9,18,0
9,19,2
9,2,0
9,3,2
9,4,2
9,5,2
9,6,1
9,7,0
9,8,2
9,9,2
