season,topic,Partisan politics (2==hyper political)
55,14,2
35,3,2
33,4,2
49,13,2
1,12,0
41,2,0
11,1,1
38,6,0
33,1,2
21,5,2
5,6,0
47,3,0
17,7,2
2,26,0
46,5,2
32,6,1
5,7,0
55,8,2
50,14,0
13,1,2
2,17,0
38,1,2
24,11,1
39,2,2
3,10,1
23,9,1
47,11,2
37,5,1
23,7,2
53,11,2
41,3,2
25,1,2
49,11,0
42,4,0
9,14,0
17,8,2
60,13,0
17,2,2
34,1,2
15,7,2
60,3,2
55,15,0
44,1,2
23,12,2
18,4,1
34,12,2
58,15,2
22,4,0
11,7,0
52,11,2
24,23,0
5,13,0
24,13,0
24,15,1
19,13,2
5,10,0
37,11,2
42,22,2
13,7,2
45,3,0
30,5,2
10,16,1
25,5,1
5,1,0
40,15,2
25,10,0
60,4,2
48,12,2
56,12,2
55,1,2
24,17,2
3,19,2
39,5,1
27,9,1
42,8,2
23,16,0
43,12,1
25,8,1
45,4,2
55,16,0
48,10,0
8,9,2
48,9,2
59,14,2
5,11,0
52,1,2
53,3,2
38,17,2
44,25,0
39,24,2
60,12,2
37,6,2
9,19,2
13,25,0
13,11,0
39,17,2
34,4,0
39,18,0
49,9,1
20,2,0
38,14,2
40,2,1
50,19,2
34,17,1
56,11,2
49,7,2
3,4,0
52,6,2
10,11,2
32,7,2
60,14,2
43,6,2
27,18,0
49,2,1
29,7,0
13,14,1
56,15,0
27,12,2
60,11,1
52,13,2
23,5,0
29,12,2
56,14,2
36,13,1
50,21,2
34,8,2
48,15,1
13,16,1
60,7,2
33,3,1
13,10,0
24,8,1
29,14,2
29,17,2
4,1,2
51,14,2
12,3,0
37,10,0
29,8,1
9,12,0
56,5,2
23,17,2
52,12,0
4,6,2
55,9,2
56,3,0
31,10,1
15,2,0
3,25,0
23,22,2
16,11,2
21,7,0
23,4,2
24,7,1
12,2,2
55,10,2
52,4,0
26,5,2
42,2,2
16,6,2
38,4,2
46,3,1
18,2,2
40,6,1
3,8,0
20,4,1
54,1,2
51,3,2
51,4,1
42,17,0
32,9,0
16,13,0
25,6,2
3,12,0
26,4,2
50,20,1
23,2,2
57,5,2
28,2,1
18,10,1
22,9,2
29,2,2
1,3,0
25,23,2
50,22,0
42,10,2
56,13,0
55,5,0
6,3,2
22,8,0
35,11,2
4,15,0
8,6,0
7,13,0
25,12,2
46,11,2
39,8,2
34,16,2
53,2,2
25,26,0
51,19,2
25,15,2
50,1,2
3,13,2
34,2,2
22,5,2
23,23,0
37,4,1
37,8,2
39,16,0
51,9,2
33,10,2
12,9,0
42,20,1
55,6,0
49,10,2
2,24,2
3,15,2
25,7,0
36,16,0
25,11,0
48,17,2
29,19,0
51,15,0
22,6,2
4,14,1
1,9,0
27,19,1
31,14,0
24,4,1
34,7,2
2,5,0
59,4,2
41,19,2
46,4,0
59,7,0
19,8,1
51,13,0
42,21,0
42,3,0
35,12,2
28,11,2
15,5,0
22,11,2
39,1,2
54,8,1
39,7,0
6,7,2
14,7,2
38,11,2
56,1,2
21,9,2
31,7,2
19,14,0
15,8,2
37,7,0
42,18,1
21,1,2
2,4,0
58,13,2
11,8,1
48,3,0
52,7,0
46,6,2
58,12,2
38,5,2
5,8,2
55,7,1
31,11,0
47,4,0
14,5,2
11,5,0
44,22,0
9,1,2
20,9,0
9,16,1
53,12,2
32,13,2
51,2,2
34,21,0
7,11,0
14,3,2
19,3,2
19,6,2
39,11,0
28,12,0
9,4,0
28,13,0
27,3,2
18,9,2
38,8,2
38,3,0
50,13,2
44,18,0
13,5,0
36,20,0
12,5,2
54,6,1
3,14,0
50,12,0
23,10,0
7,9,2
29,11,2
58,8,1
3,6,0
1,11,1
32,3,1
10,2,2
46,9,1
1,2,1
6,10,2
18,6,2
2,3,0
20,3,2
4,8,1
30,7,2
59,13,2
21,12,0
56,16,2
33,8,0
11,12,0
24,10,0
1,15,1
9,6,2
29,6,2
24,19,0
34,3,0
28,10,2
56,7,2
9,5,2
30,2,2
33,14,0
44,4,0
25,20,0
34,5,0
1,14,0
43,9,2
30,6,2
39,10,2
7,14,2
6,1,0
11,10,2
19,11,2
52,5,2
59,2,0
36,11,2
44,23,2
54,11,2
18,11,0
19,9,2
38,7,0
34,25,2
31,1,2
27,11,0
56,19,0
2,14,0
44,10,0
1,1,1
24,1,2
18,7,2
35,8,0
56,2,0
27,15,0
29,1,2
7,3,1
2,13,0
10,8,2
57,3,0
10,5,0
9,2,0
1,4,0
25,25,2
43,5,1
54,5,2
60,6,0
41,5,1
11,2,2
41,12,0
1,7,2
1,6,0
3,29,1
50,10,2
23,24,0
46,8,1
47,17,2
51,10,0
11,14,0
47,12,2
44,3,0
34,10,0
50,7,2
2,9,0
32,10,2
42,12,2
4,5,0
35,5,2
24,24,1
3,3,2
56,8,2
6,2,2
2,2,2
23,15,0
18,12,0
7,10,0
16,2,2
31,4,1
28,4,1
32,8,0
18,3,2
22,1,2
1,16,0
44,24,0
21,11,2
40,11,2
7,18,0
45,7,0
23,3,2
8,3,2
19,5,0
53,9,0
21,3,2
58,1,2
44,14,0
3,21,0
2,30,0
51,17,0
29,13,0
34,13,0
54,9,0
2,12,2
20,8,0
24,12,2
23,13,2
21,6,0
4,12,1
18,8,0
58,16,2
55,13,2
34,9,2
25,4,2
37,3,0
2,28,1
13,12,0
36,7,0
46,1,2
24,6,0
11,11,1
56,9,0
1,17,1
16,12,2
56,6,0
26,7,0
23,14,0
58,10,1
8,2,0
28,6,0
2,19,0
36,1,2
49,3,0
39,13,0
41,14,0
13,20,2
25,9,2
24,22,0
29,18,0
46,7,0
24,18,2
19,15,1
12,11,1
7,7,2
3,26,2
39,4,1
16,10,0
42,13,2
60,8,0
47,5,0
25,27,2
13,27,0
10,12,2
50,16,2
13,15,2
10,4,2
27,10,2
16,3,0
10,7,2
42,15,2
36,2,2
49,5,2
40,4,1
47,6,2
39,9,2
51,6,0
13,9,2
60,5,2
13,19,2
16,5,0
57,10,1
19,10,2
8,8,2
26,10,1
42,16,2
45,6,2
45,10,1
25,21,1
11,4,2
44,12,0
25,17,2
35,2,2
13,3,2
42,9,2
41,17,1
37,1,2
25,2,2
59,10,2
31,6,2
30,9,1
43,14,2
27,5,1
32,11,0
48,13,1
44,19,2
33,16,2
45,9,2
9,10,2
32,2,0
29,16,2
56,17,1
32,1,2
14,9,0
41,18,0
10,14,2
45,8,2
2,10,0
54,3,0
40,13,2
8,15,2
48,7,2
2,11,0
27,17,0
51,1,2
8,10,0
34,23,1
37,12,2
7,5,0
47,2,2
59,12,2
2,8,0
29,4,0
2,6,1
57,2,1
7,1,2
13,22,0
59,1,2
19,12,0
37,16,0
9,15,2
60,1,2
43,4,2
7,15,0
3,11,1
43,2,1
26,1,2
55,18,1
7,16,2
34,24,2
36,9,1
13,26,1
44,6,1
54,10,2
2,25,2
13,21,1
50,3,2
4,17,0
26,8,0
58,5,2
48,14,2
29,3,2
56,18,1
2,29,0
17,1,2
27,16,2
2,18,0
8,16,0
47,16,2
58,11,2
47,7,2
23,11,0
39,15,2
21,2,2
53,1,2
39,19,0
12,6,2
35,7,0
26,9,0
3,27,0
38,10,1
54,7,2
55,3,2
50,8,2
18,5,0
57,1,2
27,2,2
49,12,1
16,14,1
49,14,1
30,3,2
7,2,0
16,1,2
33,5,0
3,17,1
36,4,0
22,7,2
13,6,2
3,7,2
53,13,0
14,1,2
16,4,2
21,4,2
33,15,0
16,9,2
29,15,1
44,5,2
40,8,2
27,1,2
20,1,2
58,14,1
55,2,0
3,22,0
40,14,1
9,17,2
42,5,2
45,5,0
39,23,2
23,6,0
42,1,2
38,15,1
40,16,1
28,8,2
51,11,2
39,14,2
44,11,2
51,20,1
13,23,2
41,13,2
7,12,0
44,15,0
43,7,2
48,5,2
55,11,2
34,15,2
31,2,2
30,1,2
45,2,2
28,3,1
13,8,0
48,2,2
47,15,1
4,9,2
51,16,0
50,15,2
4,11,2
4,16,2
12,8,2
25,19,0
54,4,2
26,6,2
37,15,2
54,2,2
3,16,0
1,5,2
24,9,2
44,20,1
47,9,2
4,7,0
7,6,1
7,8,2
46,2,2
12,10,0
10,3,0
29,10,0
49,8,2
41,10,0
23,19,0
38,9,0
55,17,0
39,21,0
41,11,0
46,10,0
38,13,0
43,8,0
11,13,2
38,2,2
26,11,2
34,20,1
45,14,2
6,5,2
7,4,2
52,3,0
42,7,0
48,8,2
57,7,1
57,6,2
3,9,1
6,6,0
42,6,0
33,7,2
38,12,2
14,6,2
47,8,1
35,4,0
48,4,2
13,13,2
24,2,0
50,6,2
26,12,1
23,18,2
2,23,0
44,16,0
24,5,0
23,20,2
31,3,2
49,1,2
25,22,0
27,6,2
51,21,2
43,10,1
10,15,1
42,14,1
12,12,2
40,5,0
44,2,2
37,14,2
52,8,1
8,14,1
53,10,0
29,5,1
43,1,2
22,3,2
50,9,0
13,24,1
12,4,0
44,9,2
28,5,2
47,14,2
9,13,0
2,7,0
34,14,2
60,2,1
41,6,1
25,13,2
20,7,0
3,5,0
36,19,1
25,3,2
5,12,0
25,18,1
58,3,2
12,1,2
41,15,2
57,8,2
19,16,2
14,4,2
36,6,2
20,5,2
37,13,2
19,1,2
27,14,2
2,1,1
37,9,0
23,8,0
10,9,2
8,17,1
48,1,2
49,6,2
45,11,0
28,9,0
24,16,1
59,6,1
3,2,2
41,20,2
42,19,0
40,10,2
48,16,0
39,3,1
41,1,2
18,1,2
4,10,0
31,13,2
48,6,2
40,3,2
11,9,2
36,18,0
17,10,2
50,11,0
1,8,2
3,30,0
17,5,0
58,2,0
21,8,0
2,16,2
48,11,2
51,12,1
60,9,2
22,2,2
8,4,2
13,4,0
8,5,1
23,21,0
8,1,2
14,8,0
40,12,0
21,10,0
12,7,0
35,6,1
52,2,2
1,10,0
43,13,0
33,2,0
59,8,0
47,18,2
44,8,2
2,21,0
35,1,2
33,9,0
30,10,1
1,18,1
4,3,2
31,9,2
14,11,2
39,6,1
2,20,2
13,18,1
33,12,2
17,11,2
15,6,2
31,5,0
22,10,0
56,4,1
55,12,0
26,3,0
20,10,2
59,5,1
15,3,2
9,7,2
53,15,2
27,8,0
33,13,2
47,13,2
5,4,0
9,18,2
51,18,2
2,22,1
40,7,2
41,9,2
34,18,1
30,4,1
16,8,0
8,7,2
26,2,1
34,19,2
50,4,0
53,8,1
24,3,2
10,13,0
32,4,0
49,4,2
27,13,1
29,9,1
60,10,2
39,12,1
47,19,2
15,1,2
9,11,2
50,18,1
50,17,2
43,11,0
32,5,2
24,14,0
3,1,2
36,5,0
58,4,2
36,10,1
36,8,1
53,6,1
56,10,1
3,23,2
50,2,0
25,14,2
20,6,0
10,1,2
42,11,1
6,9,2
59,9,2
5,2,2
14,2,0
5,9,2
39,20,0
4,13,2
36,14,0
36,15,0
11,6,2
31,8,2
19,2,2
27,4,1
30,8,1
28,7,0
33,6,0
40,9,2
44,7,0
19,7,2
35,9,2
35,10,1
41,4,1
45,13,2
2,15,2
45,1,2
11,3,1
3,18,0
10,6,2
34,6,1
59,3,2
59,15,2
43,3,0
55,19,0
16,7,2
44,17,2
52,10,1
25,16,2
17,9,0
51,5,0
23,1,2
53,4,0
4,2,0
47,1,2
5,5,2
17,3,0
34,11,1
9,3,2
17,4,2
3,24,2
9,9,2
3,20,0
32,12,2
37,2,1
8,13,0
24,20,2
30,11,0
4,4,2
25,24,0
1,19,0
41,8,0
24,21,0
19,4,2
58,6,1
8,12,2
6,8,2
2,27,0
44,13,1
31,12,2
8,11,2
58,9,1
13,17,1
53,7,2
39,22,2
18,13,2
15,10,0
17,6,2
51,22,0
52,9,2
57,9,2
51,8,0
36,12,2
5,3,2
47,10,0
45,12,0
1,13,0
3,28,0
44,21,1
34,22,0
36,17,0
50,23,2
40,1,2
28,1,2
33,11,1
51,7,1
50,5,1
38,16,0
53,5,0
9,8,0
27,7,2
55,4,2
14,10,2
10,10,2
59,11,2
58,7,1
36,3,2
57,4,2
15,4,2
13,2,2
41,7,0
15,9,2
7,17,2
41,16,1
6,4,0
53,14,0
